desc,municipio,aglomeracion_urbana,estado
Áreas verdes per cápita,4.88,4.04,Tuxtla Gutiérrez
EQUIDAD E INCLUSIÓN SOCIAL,64.64,64.59,Tuxtla Gutiérrez
Equidad económica,40.74,39.25,Tuxtla Gutiérrez
Coeﬁciente de Gini,40.59,41.85,Tuxtla Gutiérrez
Tasa de pobreza,40.88,36.65,Tuxtla Gutiérrez
Inclusión social,62.45,62.61,Tuxtla Gutiérrez
Viviendas en barrios precarios,40.89,39.33,Tuxtla Gutiérrez
Desempleo juvenil,84.01,85.89,Tuxtla Gutiérrez
Inclusión de género,90.73,91.92,Tuxtla Gutiérrez
Inscripción equitativa en educación a nivel secundario,90.73,91.92,Tuxtla Gutiérrez
SOSTENIBILIDAD AMBIENTAL,42.76,39.43,Tuxtla Gutiérrez
Calidad del aire,50.33,50.33,Tuxtla Gutiérrez
Número de estaciones de monitoreo,37.5,37.5,Tuxtla Gutiérrez
Concentraciones de material particulado,67.43,67.43,Tuxtla Gutiérrez
Concentración de CO2,46.08,46.08,Tuxtla Gutiérrez
Manejo de residuos,77.93,67.95,Tuxtla Gutiérrez
Recolección de residuos sólidos,97.48,89.4,Tuxtla Gutiérrez
Tratamiento de aguas residuales,58.39,46.51,Tuxtla Gutiérrez
Energía,0.0,0.0,Tuxtla Gutiérrez
Proporción de generación de energía renovable,0.0,0.0,Tuxtla Gutiérrez
GOBERNANZA Y LEGISLACIÓN URBANA,23.57,24.76,Tuxtla Gutiérrez
Participación y rendición de cuentas,25.92,30.58,Tuxtla Gutiérrez
Participación electoral,25.92,30.58,Tuxtla Gutiérrez
Capacidad institucional y ﬁnanzas municipales,44.78,43.71,Tuxtla Gutiérrez
Recaudación de ingresos propios,0.0,0.0,Tuxtla Gutiérrez
Deuda subnacional,42.34,38.93,Tuxtla Gutiérrez
Eﬁciencia del gasto local,92.0,92.2,Tuxtla Gutiérrez
Gobernanza de la urbanización,0.0,0.0,Tuxtla Gutiérrez
Eﬁciencia en el uso de suelo,0.0,0.0,Tuxtla Gutiérrez
PRODUCTIVIDAD,59.93,58.81,Aquiles Serdán
Crecimiento económico,51.19,50.58,Aquiles Serdán
Producto urbano per cápita,16.59,44.98,Aquiles Serdán
Relación de dependencia de la tercera edad,85.79,56.19,Aquiles Serdán
Aglomeración económica,49.22,66.12,Aquiles Serdán
Densidad económica,49.22,66.12,Aquiles Serdán
Empleo,79.38,67.94,Aquiles Serdán
Tasa de desempleo,76.7,76.25,Aquiles Serdán
Relación empleo-población,82.07,59.63,Aquiles Serdán
INFRAESTRUCTURA DE DESARROLLO,42.41,65.8,Aquiles Serdán
Infraestructura de vivienda,78.85,81.21,Aquiles Serdán
Vivienda durable,99.1,98.25,Aquiles Serdán
Acceso a agua mejorada,98.75,95.8,Aquiles Serdán
Espacio habitable suﬁciente,100.0,100.0,Aquiles Serdán
Densidad poblacional,17.56,30.79,Aquiles Serdán
Infraestructura social,35.99,61.63,Aquiles Serdán
Densidad de médicos,35.99,61.63,Aquiles Serdán
Infraestructura de comunicaciones,24.0,41.34,Aquiles Serdán
Acceso a Internet,4.57,39.23,Aquiles Serdán
Velocidad de banda ancha promedio,43.44,43.44,Aquiles Serdán
Movilidad urbana,39.06,53.03,Aquiles Serdán
Longitud de transporte masivo,0.0,26.85,Aquiles Serdán
Fatalidades de tránsito,78.11,79.21,Aquiles Serdán
Forma urbana,34.12,91.78,Aquiles Serdán
Densidad de la interconexión vial,49.53,100.0,Aquiles Serdán
Densidad vial,21.52,77.73,Aquiles Serdán
Superﬁcie destinada a vías,31.31,97.59,Aquiles Serdán
CALIDAD DE VIDA,66.43,62.34,Aquiles Serdán
Salud,59.9,57.92,Aquiles Serdán
Esperanza de vida al nacer,59.45,59.45,Aquiles Serdán
Tasa de mortalidad de menores de 5 años,60.35,56.38,Aquiles Serdán
Educación,79.97,82.34,Aquiles Serdán
Tasa de alfabetización,95.59,97.55,Aquiles Serdán
Promedio de años de escolaridad,64.36,67.14,Aquiles Serdán
Seguridad y protección,63.85,55.28,Aquiles Serdán
Tasa de homicidios,63.85,55.28,Aquiles Serdán
Espacio público,61.99,53.84,Aquiles Serdán
Accesibilidad al espacio público abierto,100.0,88.63,Aquiles Serdán
Áreas verdes per cápita,23.99,19.05,Aquiles Serdán
EQUIDAD E INCLUSIÓN SOCIAL,72.05,75.9,Aquiles Serdán
Equidad económica,57.82,52.6,Aquiles Serdán
Coeﬁciente de Gini,61.4,58.92,Aquiles Serdán
Tasa de pobreza,54.23,46.27,Aquiles Serdán
Inclusión social,80.72,82.43,Aquiles Serdán
Viviendas en barrios precarios,90.99,97.27,Aquiles Serdán
Desempleo juvenil,70.45,67.6,Aquiles Serdán
Inclusión de género,77.6,92.69,Aquiles Serdán
Inscripción equitativa en educación a nivel secundario,77.6,92.69,Aquiles Serdán
SOSTENIBILIDAD AMBIENTAL,45.07,46.88,Aquiles Serdán
Calidad del aire,58.04,47.03,Aquiles Serdán
Número de estaciones de monitoreo,,25.0,Aquiles Serdán
Concentraciones de material particulado,70.0,70.0,Aquiles Serdán
Concentración de CO2,46.08,46.08,Aquiles Serdán
Manejo de residuos,77.18,93.6,Aquiles Serdán
Recolección de residuos sólidos,96.3,97.19,Aquiles Serdán
Tratamiento de aguas residuales,58.07,90.02,Aquiles Serdán
Energía,0.0,0.0,Aquiles Serdán
Proporción de generación de energía renovable,0.0,0.0,Aquiles Serdán
GOBERNANZA Y LEGISLACIÓN URBANA,33.19,29.59,Aquiles Serdán
Participación y rendición de cuentas,55.27,38.53,Aquiles Serdán
Participación electoral,55.27,38.53,Aquiles Serdán
Capacidad institucional y ﬁnanzas municipales,44.29,50.23,Aquiles Serdán
Recaudación de ingresos propios,27.75,41.17,Aquiles Serdán
Deuda subnacional,5.13,10.61,Aquiles Serdán
Eﬁciencia del gasto local,100.0,98.91,Aquiles Serdán
Gobernanza de la urbanización,0.0,0.0,Aquiles Serdán
Eﬁciencia en el uso de suelo,0.0,0.0,Aquiles Serdán
PRODUCTIVIDAD,58.88,,Cuauhtémoc
Crecimiento económico,45.99,,Cuauhtémoc
Producto urbano per cápita,34.67,,Cuauhtémoc
Relación de dependencia de la tercera edad,57.31,,Cuauhtémoc
Aglomeración económica,58.43,,Cuauhtémoc
Densidad económica,58.43,,Cuauhtémoc
Empleo,72.23,,Cuauhtémoc
Tasa de desempleo,86.93,,Cuauhtémoc
Relación empleo-población,57.53,,Cuauhtémoc
INFRAESTRUCTURA DE DESARROLLO,62.0,,Cuauhtémoc
Infraestructura de vivienda,79.18,,Cuauhtémoc
Vivienda durable,97.6,,Cuauhtémoc
Acceso a agua mejorada,99.03,,Cuauhtémoc
Espacio habitable suﬁciente,100.0,,Cuauhtémoc
Densidad poblacional,20.11,,Cuauhtémoc
Infraestructura social,61.96,,Cuauhtémoc
Densidad de médicos,61.96,,Cuauhtémoc
Infraestructura de comunicaciones,32.99,,Cuauhtémoc
Acceso a Internet,22.54,,Cuauhtémoc
Velocidad de banda ancha promedio,43.44,,Cuauhtémoc
Movilidad urbana,66.1,,Cuauhtémoc
Longitud de transporte masivo,,,Cuauhtémoc
Fatalidades de tránsito,66.1,,Cuauhtémoc
Forma urbana,69.77,,Cuauhtémoc
Densidad de la interconexión vial,85.06,,Cuauhtémoc
Densidad vial,45.69,,Cuauhtémoc
Superﬁcie destinada a vías,78.57,,Cuauhtémoc
CALIDAD DE VIDA,57.35,,Cuauhtémoc
Salud,52.06,,Cuauhtémoc
Esperanza de vida al nacer,59.45,,Cuauhtémoc
Tasa de mortalidad de menores de 5 años,44.67,,Cuauhtémoc
Educación,82.32,,Cuauhtémoc
Tasa de alfabetización,96.57,,Cuauhtémoc
Promedio de años de escolaridad,68.07,,Cuauhtémoc
Seguridad y protección,52.59,,Cuauhtémoc
Tasa de homicidios,52.59,,Cuauhtémoc
Espacio público,42.41,,Cuauhtémoc
Accesibilidad al espacio público abierto,73.29,,Cuauhtémoc
Áreas verdes per cápita,11.53,,Cuauhtémoc
EQUIDAD E INCLUSIÓN SOCIAL,73.39,,Cuauhtémoc
Equidad económica,46.2,,Cuauhtémoc
Coeﬁciente de Gini,58.44,,Cuauhtémoc
Tasa de pobreza,33.96,,Cuauhtémoc
Inclusión social,87.61,,Cuauhtémoc
Viviendas en barrios precarios,93.73,,Cuauhtémoc
Desempleo juvenil,81.48,,Cuauhtémoc
Inclusión de género,86.35,,Cuauhtémoc
Inscripción equitativa en educación a nivel secundario,86.35,,Cuauhtémoc
SOSTENIBILIDAD AMBIENTAL,37.92,,Cuauhtémoc
Calidad del aire,47.03,,Cuauhtémoc
Número de estaciones de monitoreo,0.0,,Cuauhtémoc
Concentraciones de material particulado,95.0,,Cuauhtémoc
Concentración de CO2,46.08,,Cuauhtémoc
Manejo de residuos,66.74,,Cuauhtémoc
Recolección de residuos sólidos,73.42,,Cuauhtémoc
Tratamiento de aguas residuales,60.05,,Cuauhtémoc
Energía,0.0,,Cuauhtémoc
Proporción de generación de energía renovable,0.0,,Cuauhtémoc
GOBERNANZA Y LEGISLACIÓN URBANA,27.49,,Cuauhtémoc
Participación y rendición de cuentas,36.25,,Cuauhtémoc
Participación electoral,36.25,,Cuauhtémoc
Capacidad institucional y ﬁnanzas municipales,46.24,,Cuauhtémoc
Recaudación de ingresos propios,24.74,,Cuauhtémoc
Deuda subnacional,13.97,,Cuauhtémoc
Eﬁciencia del gasto local,100.0,,Cuauhtémoc
Gobernanza de la urbanización,0.0,,Cuauhtémoc
Eﬁciencia en el uso de suelo,0.0,,Cuauhtémoc
PRODUCTIVIDAD,61.85,58.81,Chihuahua
Crecimiento económico,50.87,50.58,Chihuahua
Producto urbano per cápita,45.57,44.98,Chihuahua
Relación de dependencia de la tercera edad,56.17,56.19,Chihuahua
Aglomeración económica,66.73,66.12,Chihuahua
Densidad económica,66.73,66.12,Chihuahua
Empleo,67.96,67.94,Chihuahua
Tasa de desempleo,76.28,76.25,Chihuahua
Relación empleo-población,59.64,59.63,Chihuahua
INFRAESTRUCTURA DE DESARROLLO,66.15,65.8,Chihuahua
Infraestructura de vivienda,81.51,81.21,Chihuahua
Vivienda durable,98.34,98.25,Chihuahua
Acceso a agua mejorada,95.73,95.8,Chihuahua
Espacio habitable suﬁciente,100.0,100.0,Chihuahua
Densidad poblacional,31.99,30.79,Chihuahua
Infraestructura social,62.2,61.63,Chihuahua
Densidad de médicos,62.2,61.63,Chihuahua
Infraestructura de comunicaciones,41.86,41.34,Chihuahua
Acceso a Internet,40.27,39.23,Chihuahua
Velocidad de banda ancha promedio,43.44,43.44,Chihuahua
Movilidad urbana,53.66,53.03,Chihuahua
Longitud de transporte masivo,28.01,26.85,Chihuahua
Fatalidades de tránsito,79.32,79.21,Chihuahua
Forma urbana,91.53,91.78,Chihuahua
Densidad de la interconexión vial,100.0,100.0,Chihuahua
Densidad vial,76.95,77.73,Chihuahua
Superﬁcie destinada a vías,97.65,97.59,Chihuahua
CALIDAD DE VIDA,63.85,62.34,Chihuahua
Salud,57.88,57.92,Chihuahua
Esperanza de vida al nacer,59.45,59.45,Chihuahua
Tasa de mortalidad de menores de 5 años,56.3,56.38,Chihuahua
Educación,89.18,82.34,Chihuahua
Tasa de alfabetización,97.64,97.55,Chihuahua
Promedio de años de escolaridad,80.71,67.14,Chihuahua
Seguridad y protección,55.36,55.28,Chihuahua
Tasa de homicidios,55.36,55.28,Chihuahua
Espacio público,52.98,53.84,Chihuahua
Accesibilidad al espacio público abierto,87.86,88.63,Chihuahua
Áreas verdes per cápita,18.1,19.05,Chihuahua
EQUIDAD E INCLUSIÓN SOCIAL,75.09,75.9,Chihuahua
Equidad económica,49.94,52.6,Chihuahua
Coeﬁciente de Gini,53.28,58.92,Chihuahua
Tasa de pobreza,46.6,46.27,Chihuahua
Inclusión social,82.45,82.43,Chihuahua
Viviendas en barrios precarios,97.33,97.27,Chihuahua
Desempleo juvenil,67.56,67.6,Chihuahua
Inclusión de género,92.9,92.69,Chihuahua
Inscripción equitativa en educación a nivel secundario,92.9,92.69,Chihuahua
SOSTENIBILIDAD AMBIENTAL,47.15,46.88,Chihuahua
Calidad del aire,47.03,47.03,Chihuahua
Número de estaciones de monitoreo,25.0,25.0,Chihuahua
Concentraciones de material particulado,70.0,70.0,Chihuahua
Concentración de CO2,46.08,46.08,Chihuahua
Manejo de residuos,94.42,93.6,Chihuahua
Recolección de residuos sólidos,97.57,97.19,Chihuahua
Tratamiento de aguas residuales,91.27,90.02,Chihuahua
Energía,0.0,0.0,Chihuahua
Proporción de generación de energía renovable,0.0,0.0,Chihuahua
GOBERNANZA Y LEGISLACIÓN URBANA,29.48,29.59,Chihuahua
Participación y rendición de cuentas,37.83,38.53,Chihuahua
Participación electoral,37.83,38.53,Chihuahua
Capacidad institucional y ﬁnanzas municipales,50.61,50.23,Chihuahua
Recaudación de ingresos propios,42.03,41.17,Chihuahua
Deuda subnacional,10.8,10.61,Chihuahua
Eﬁciencia del gasto local,99.0,98.91,Chihuahua
Gobernanza de la urbanización,0.0,0.0,Chihuahua
Eﬁciencia en el uso de suelo,0.0,0.0,Chihuahua
PRODUCTIVIDAD,56.12,52.3,Delicias
Crecimiento económico,43.78,41.61,Delicias
Producto urbano per cápita,34.82,32.56,Delicias
Relación de dependencia de la tercera edad,52.75,50.66,Delicias
Aglomeración económica,58.04,57.78,Delicias
Densidad económica,58.04,57.78,Delicias
Empleo,66.53,68.22,Delicias
Tasa de desempleo,76.78,79.47,Delicias
Relación empleo-población,56.28,56.98,Delicias
INFRAESTRUCTURA DE DESARROLLO,74.29,69.78,Delicias
Infraestructura de vivienda,79.46,79.56,Delicias
Vivienda durable,97.12,96.67,Delicias
Acceso a agua mejorada,99.16,99.23,Delicias
Espacio habitable suﬁciente,100.0,100.0,Delicias
Densidad poblacional,21.55,22.32,Delicias
Infraestructura social,66.95,60.36,Delicias
Densidad de médicos,66.95,60.36,Delicias
Infraestructura de comunicaciones,34.39,32.87,Delicias
Acceso a Internet,25.33,22.31,Delicias
Velocidad de banda ancha promedio,43.44,43.44,Delicias
Movilidad urbana,94.39,81.22,Delicias
Longitud de transporte masivo,,,Delicias
Fatalidades de tránsito,94.39,81.22,Delicias
Forma urbana,96.27,94.88,Delicias
Densidad de la interconexión vial,100.0,100.0,Delicias
Densidad vial,93.7,94.86,Delicias
Superﬁcie destinada a vías,95.1,89.78,Delicias
CALIDAD DE VIDA,61.85,59.63,Delicias
Salud,60.09,57.53,Delicias
Esperanza de vida al nacer,59.45,59.45,Delicias
Tasa de mortalidad de menores de 5 años,60.72,55.6,Delicias
Educación,82.88,80.68,Delicias
Tasa de alfabetización,96.39,95.98,Delicias
Promedio de años de escolaridad,69.36,65.39,Delicias
Seguridad y protección,61.59,56.44,Delicias
Tasa de homicidios,61.59,56.44,Delicias
Espacio público,42.83,43.85,Delicias
Accesibilidad al espacio público abierto,73.53,77.01,Delicias
Áreas verdes per cápita,12.13,10.7,Delicias
EQUIDAD E INCLUSIÓN SOCIAL,73.02,73.33,Delicias
Equidad económica,53.2,54.72,Delicias
Coeﬁciente de Gini,51.81,55.72,Delicias
Tasa de pobreza,54.6,53.71,Delicias
Inclusión social,82.35,84.13,Delicias
Viviendas en barrios precarios,96.6,96.49,Delicias
Desempleo juvenil,68.1,71.76,Delicias
Inclusión de género,83.5,81.15,Delicias
Inscripción equitativa en educación a nivel secundario,83.5,81.15,Delicias
SOSTENIBILIDAD AMBIENTAL,32.24,35.74,Delicias
Calidad del aire,47.03,47.03,Delicias
Número de estaciones de monitoreo,0.0,0.0,Delicias
Concentraciones de material particulado,95.0,95.0,Delicias
Concentración de CO2,46.08,46.08,Delicias
Manejo de residuos,49.69,60.18,Delicias
Recolección de residuos sólidos,97.19,97.22,Delicias
Tratamiento de aguas residuales,2.19,23.14,Delicias
Energía,0.0,0.0,Delicias
Proporción de generación de energía renovable,0.0,0.0,Delicias
GOBERNANZA Y LEGISLACIÓN URBANA,26.62,27.3,Delicias
Participación y rendición de cuentas,48.6,47.95,Delicias
Participación electoral,48.6,47.95,Delicias
Capacidad institucional y ﬁnanzas municipales,31.27,33.96,Delicias
Recaudación de ingresos propios,20.82,20.79,Delicias
Deuda subnacional,0.0,2.02,Delicias
Eﬁciencia del gasto local,73.0,79.08,Delicias
Gobernanza de la urbanización,0.0,0.0,Delicias
Eﬁciencia en el uso de suelo,0.0,0.0,Delicias
PRODUCTIVIDAD,61.67,,Juárez
Crecimiento económico,56.49,,Juárez
Producto urbano per cápita,42.97,,Juárez
Relación de dependencia de la tercera edad,70.0,,Juárez
Aglomeración económica,64.23,,Juárez
Densidad económica,64.23,,Juárez
Empleo,64.3,,Juárez
Tasa de desempleo,68.99,,Juárez
Relación empleo-población,59.6,,Juárez
INFRAESTRUCTURA DE DESARROLLO,57.32,,Juárez
Infraestructura de vivienda,67.46,,Juárez
Vivienda durable,45.46,,Juárez
Acceso a agua mejorada,95.86,,Juárez
Espacio habitable suﬁciente,100.0,,Juárez
Densidad poblacional,28.52,,Juárez
Infraestructura social,50.58,,Juárez
Densidad de médicos,50.58,,Juárez
Infraestructura de comunicaciones,34.39,,Juárez
Acceso a Internet,25.33,,Juárez
Velocidad de banda ancha promedio,43.44,,Juárez
Movilidad urbana,52.2,,Juárez
Longitud de transporte masivo,18.44,,Juárez
Fatalidades de tránsito,85.95,,Juárez
Forma urbana,82.01,,Juárez
Densidad de la interconexión vial,96.84,,Juárez
Densidad vial,58.23,,Juárez
Superﬁcie destinada a vías,90.95,,Juárez
CALIDAD DE VIDA,62.48,,Juárez
Salud,56.78,,Juárez
Esperanza de vida al nacer,59.45,,Juárez
Tasa de mortalidad de menores de 5 años,54.1,,Juárez
Educación,88.0,,Juárez
Tasa de alfabetización,96.28,,Juárez
Promedio de años de escolaridad,79.71,,Juárez
Seguridad y protección,53.34,,Juárez
Tasa de homicidios,53.34,,Juárez
Espacio público,51.82,,Juárez
Accesibilidad al espacio público abierto,89.08,,Juárez
Áreas verdes per cápita,14.55,,Juárez
EQUIDAD E INCLUSIÓN SOCIAL,71.67,,Juárez
Equidad económica,47.66,,Juárez
Coeﬁciente de Gini,54.0,,Juárez
Tasa de pobreza,41.33,,Juárez
Inclusión social,79.65,,Juárez
Viviendas en barrios precarios,93.8,,Juárez
Desempleo juvenil,65.49,,Juárez
Inclusión de género,87.7,,Juárez
Inscripción equitativa en educación a nivel secundario,87.7,,Juárez
SOSTENIBILIDAD AMBIENTAL,45.86,,Juárez
Calidad del aire,48.69,,Juárez
Número de estaciones de monitoreo,100.0,,Juárez
Concentraciones de material particulado,0.0,,Juárez
Concentración de CO2,46.08,,Juárez
Manejo de residuos,88.89,,Juárez
Recolección de residuos sólidos,98.49,,Juárez
Tratamiento de aguas residuales,79.3,,Juárez
Energía,0.0,,Juárez
Proporción de generación de energía renovable,0.0,,Juárez
GOBERNANZA Y LEGISLACIÓN URBANA,24.82,,Juárez
Participación y rendición de cuentas,29.94,,Juárez
Participación electoral,29.94,,Juárez
Capacidad institucional y ﬁnanzas municipales,44.53,,Juárez
Recaudación de ingresos propios,41.87,,Juárez
Deuda subnacional,1.72,,Juárez
Eﬁciencia del gasto local,90.0,,Juárez
Gobernanza de la urbanización,0.0,,Juárez
Eﬁciencia en el uso de suelo,0.0,,Juárez
PRODUCTIVIDAD,62.94,65.22,Venustiano Carranza
Crecimiento económico,43.77,56.05,Venustiano Carranza
Producto urbano per cápita,47.32,55.35,Venustiano Carranza
Relación de dependencia de la tercera edad,40.22,56.75,Venustiano Carranza
Aglomeración económica,77.68,81.64,Venustiano Carranza
Densidad económica,77.68,81.64,Venustiano Carranza
Empleo,67.38,67.15,Venustiano Carranza
Tasa de desempleo,75.61,76.56,Venustiano Carranza
Relación empleo-población,59.15,57.74,Venustiano Carranza
INFRAESTRUCTURA DE DESARROLLO,73.7,66.91,Venustiano Carranza
Infraestructura de vivienda,89.72,90.98,Venustiano Carranza
Vivienda durable,86.51,87.54,Venustiano Carranza
Acceso a agua mejorada,89.19,93.92,Venustiano Carranza
Espacio habitable suﬁciente,100.0,100.0,Venustiano Carranza
Densidad poblacional,83.2,82.46,Venustiano Carranza
Infraestructura social,76.59,69.56,Venustiano Carranza
Densidad de médicos,76.59,69.56,Venustiano Carranza
Infraestructura de comunicaciones,40.37,37.34,Venustiano Carranza
Acceso a Internet,37.31,31.24,Venustiano Carranza
Velocidad de banda ancha promedio,43.44,43.44,Venustiano Carranza
Movilidad urbana,75.73,56.31,Venustiano Carranza
Longitud de transporte masivo,66.96,22.43,Venustiano Carranza
Fatalidades de tránsito,84.51,90.2,Venustiano Carranza
Forma urbana,86.09,80.37,Venustiano Carranza
Densidad de la interconexión vial,100.0,100.0,Venustiano Carranza
Densidad vial,72.03,76.9,Venustiano Carranza
Superﬁcie destinada a vías,86.24,64.2,Venustiano Carranza
CALIDAD DE VIDA,63.81,68.26,Venustiano Carranza
Salud,64.17,63.05,Venustiano Carranza
Esperanza de vida al nacer,74.07,71.6,Venustiano Carranza
Tasa de mortalidad de menores de 5 años,54.28,54.51,Venustiano Carranza
Educación,88.46,84.82,Venustiano Carranza
Tasa de alfabetización,97.43,95.61,Venustiano Carranza
Promedio de años de escolaridad,79.5,74.03,Venustiano Carranza
Seguridad y protección,55.77,58.47,Venustiano Carranza
Tasa de homicidios,55.77,58.47,Venustiano Carranza
Espacio público,46.81,66.67,Venustiano Carranza
Accesibilidad al espacio público abierto,69.67,81.43,Venustiano Carranza
Áreas verdes per cápita,23.96,51.92,Venustiano Carranza
EQUIDAD E INCLUSIÓN SOCIAL,77.4,73.19,Venustiano Carranza
Equidad económica,54.14,53.43,Venustiano Carranza
Coeﬁciente de Gini,52.89,58.01,Venustiano Carranza
Tasa de pobreza,55.39,48.84,Venustiano Carranza
Inclusión social,80.68,73.12,Venustiano Carranza
Viviendas en barrios precarios,94.65,77.21,Venustiano Carranza
Desempleo juvenil,66.71,69.02,Venustiano Carranza
Inclusión de género,97.37,93.04,Venustiano Carranza
Inscripción equitativa en educación a nivel secundario,97.37,93.04,Venustiano Carranza
SOSTENIBILIDAD AMBIENTAL,28.22,39.37,Venustiano Carranza
Calidad del aire,37.03,62.03,Venustiano Carranza
Número de estaciones de monitoreo,25.0,100.0,Venustiano Carranza
Concentraciones de material particulado,40.0,40.0,Venustiano Carranza
Concentración de CO2,46.08,46.08,Venustiano Carranza
Manejo de residuos,47.62,56.09,Venustiano Carranza
Recolección de residuos sólidos,95.25,94.37,Venustiano Carranza
Tratamiento de aguas residuales,0.0,17.8,Venustiano Carranza
Energía,0.0,0.0,Venustiano Carranza
Proporción de generación de energía renovable,0.0,0.0,Venustiano Carranza
GOBERNANZA Y LEGISLACIÓN URBANA,37.22,33.36,Venustiano Carranza
Participación y rendición de cuentas,65.63,55.8,Venustiano Carranza
Participación electoral,65.63,55.8,Venustiano Carranza
Capacidad institucional y ﬁnanzas municipales,46.03,44.27,Venustiano Carranza
Recaudación de ingresos propios,38.1,21.57,Venustiano Carranza
Deuda subnacional,0.0,11.24,Venustiano Carranza
Eﬁciencia del gasto local,100.0,100.0,Venustiano Carranza
Gobernanza de la urbanización,0.0,0.0,Venustiano Carranza
Eﬁciencia en el uso de suelo,0.0,0.0,Venustiano Carranza
PRODUCTIVIDAD,50.3,,Durango
Crecimiento económico,36.83,,Durango
Producto urbano per cápita,15.79,,Durango
Relación de dependencia de la tercera edad,57.88,,Durango
Aglomeración económica,49.44,,Durango
Densidad económica,49.44,,Durango
Empleo,64.62,,Durango
Tasa de desempleo,76.99,,Durango
Relación empleo-población,52.25,,Durango
INFRAESTRUCTURA DE DESARROLLO,64.19,,Durango
Infraestructura de vivienda,79.9,,Durango
Vivienda durable,96.57,,Durango
Acceso a agua mejorada,99.0,,Durango
Espacio habitable suﬁciente,100.0,,Durango
Densidad poblacional,24.04,,Durango
Infraestructura social,77.75,,Durango
Densidad de médicos,77.75,,Durango
Infraestructura de comunicaciones,34.72,,Durango
Acceso a Internet,25.99,,Durango
Velocidad de banda ancha promedio,43.44,,Durango
Movilidad urbana,44.45,,Durango
Longitud de transporte masivo,0.0,,Durango
Fatalidades de tránsito,88.9,,Durango
Forma urbana,84.14,,Durango
Densidad de la interconexión vial,81.25,,Durango
Densidad vial,88.21,,Durango
Superﬁcie destinada a vías,82.98,,Durango
CALIDAD DE VIDA,60.2,,Durango
Salud,62.23,,Durango
Esperanza de vida al nacer,70.61,,Durango
Tasa de mortalidad de menores de 5 años,53.84,,Durango
Educación,87.71,,Durango
Tasa de alfabetización,97.07,,Durango
Promedio de años de escolaridad,78.36,,Durango
Seguridad y protección,61.95,,Durango
Tasa de homicidios,61.95,,Durango
Espacio público,28.93,,Durango
Accesibilidad al espacio público abierto,40.2,,Durango
Áreas verdes per cápita,17.66,,Durango
EQUIDAD E INCLUSIÓN SOCIAL,71.75,,Durango
Equidad económica,44.74,,Durango
Coeﬁciente de Gini,49.68,,Durango
Tasa de pobreza,39.8,,Durango
Inclusión social,80.83,,Durango
Viviendas en barrios precarios,92.38,,Durango
Desempleo juvenil,69.28,,Durango
Inclusión de género,89.69,,Durango
Inscripción equitativa en educación a nivel secundario,89.69,,Durango
SOSTENIBILIDAD AMBIENTAL,54.69,,Durango
Calidad del aire,67.0,,Durango
Número de estaciones de monitoreo,87.5,,Durango
Concentraciones de material particulado,67.43,,Durango
Concentración de CO2,46.08,,Durango
Manejo de residuos,97.06,,Durango
Recolección de residuos sólidos,95.14,,Durango
Tratamiento de aguas residuales,98.97,,Durango
Energía,0.0,,Durango
Proporción de generación de energía renovable,0.0,,Durango
GOBERNANZA Y LEGISLACIÓN URBANA,33.84,,Durango
Participación y rendición de cuentas,44.33,,Durango
Participación electoral,44.33,,Durango
Capacidad institucional y ﬁnanzas municipales,57.19,,Durango
Recaudación de ingresos propios,40.44,,Durango
Deuda subnacional,45.14,,Durango
Eﬁciencia del gasto local,86.0,,Durango
Gobernanza de la urbanización,0.0,,Durango
Eﬁciencia en el uso de suelo,0.0,,Durango
PRODUCTIVIDAD,54.46,56.57,Gómez Palacio
Crecimiento económico,46.55,50.77,Gómez Palacio
Producto urbano per cápita,32.7,43.73,Gómez Palacio
Relación de dependencia de la tercera edad,60.39,57.81,Gómez Palacio
Aglomeración económica,60.68,66.61,Gómez Palacio
Densidad económica,60.68,66.61,Gómez Palacio
Empleo,56.16,58.12,Gómez Palacio
Tasa de desempleo,66.77,67.34,Gómez Palacio
Relación empleo-población,45.55,48.91,Gómez Palacio
INFRAESTRUCTURA DE DESARROLLO,60.18,62.2,Gómez Palacio
Infraestructura de vivienda,78.9,79.07,Gómez Palacio
Vivienda durable,88.25,86.92,Gómez Palacio
Acceso a agua mejorada,99.2,98.66,Gómez Palacio
Espacio habitable suﬁciente,100.0,100.0,Gómez Palacio
Densidad poblacional,28.17,30.71,Gómez Palacio
Infraestructura social,64.81,65.64,Gómez Palacio
Densidad de médicos,64.81,65.64,Gómez Palacio
Infraestructura de comunicaciones,31.28,33.42,Gómez Palacio
Acceso a Internet,19.12,23.39,Gómez Palacio
Velocidad de banda ancha promedio,43.44,43.44,Gómez Palacio
Movilidad urbana,37.73,44.52,Gómez Palacio
Longitud de transporte masivo,0.0,0.0,Gómez Palacio
Fatalidades de tránsito,75.46,89.04,Gómez Palacio
Forma urbana,88.15,88.35,Gómez Palacio
Densidad de la interconexión vial,100.0,100.0,Gómez Palacio
Densidad vial,88.1,71.45,Gómez Palacio
Superﬁcie destinada a vías,76.36,93.61,Gómez Palacio
CALIDAD DE VIDA,61.1,64.15,Gómez Palacio
Salud,64.78,63.75,Gómez Palacio
Esperanza de vida al nacer,70.61,71.3,Gómez Palacio
Tasa de mortalidad de menores de 5 años,58.95,56.2,Gómez Palacio
Educación,87.92,86.77,Gómez Palacio
